Name,Centre_ID,Region,Type,CENTROIDX,CENTROIDY,Businesses,Total_Units,Comparison,Leisure,Vacant_ Properties,Anchor_st,AttrScore,Shop Multiples,All Multiples,Catch_pop,"1_Rural
",2_Cosmopolitan,3_Etnicity,4_Multicultural,5_Urbanites,6_Suburbanites,7_Constrained,8_HardPressed,Largest_SPRGRP,pop_max,% catch_pop
Aberaeron,TC0001,Wales,T Centre,245847.7,262893.2,6,6,3,1,0,1,2.7,5,6,1422,525,0,0,0,459,0,192,246,1,525,36.90%
Aberdare,TC0002,Wales,T Centre,300330.6,202572.6,202,225,62,42,23,1,9.9,48,54,25632,0,0,0,0,3257,5665,1602,15108,8,15108,58.90%
Aberdeen,Aberdeen,Scotland,T Centre,393615,806035,1056,,372,352,,15,84.1,334,454,,,,,,,,,,,,NA
Abergavenny,TC0003,Wales,T Centre,329864.1,214287.3,259,282,108,46,23,1,12.7,69,77,15852,3105,0,0,0,3002,3081,1276,5388,8,5388,34.00%
Abergele,TC0004,Wales,T Centre,294594.2,377544.2,77,83,22,14,6,0,2.7,11,12,7780,424,0,0,0,930,4478,815,1133,6,4478,57.60%
Abertillery,TC0005,Wales,T Centre,321757.9,204104.3,119,150,26,32,31,2,9.3,19,22,11601,362,0,0,0,0,518,1259,9462,8,9462,81.60%
Aberystwyth,TC0006,Wales,T Centre,258386.8,281725.6,331,362,119,81,31,2,18.3,67,82,22407,4208,9371,0,0,3899,1207,1515,2207,2,9371,41.80%
Abingdon,TC0007,South East,T Centre,449707.2,197111.2,237,268,66,48,31,2,13.4,58,68,32105,289,1915,0,870,14295,7645,2354,4737,5,14295,44.50%
Accrington,TC0008,North West,T Centre,376045,428586.8,471,600,172,93,129,3,25.6,78,98,59794,502,0,0,9815,6048,15266,5953,22210,8,22210,37.10%
Acock's Green,TC0009,West Midlands,T Centre,412214.2,283170.1,113,123,36,20,10,2,9,44,54,14787,0,0,234,13666,272,406,209,0,4,13666,92.40%
Acomb,TC0010,Yorkshire and the Humber,T Centre,457503,451373,88,105,24,11,17,2,7.8,28,32,5919,0,0,0,0,1814,592,744,2769,8,2769,46.80%
Acton,TC0011,Greater London,T Centre,520086.6,180158.8,293,323,53,84,30,2,15.4,36,58,17769,0,0,14975,2794,0,0,0,0,3,14975,84.30%
"Acton Park Estate, Acton",TC0012,Greater London,T Centre,521128.7,179893.3,14,18,2,6,4,0,0.6,0,0,4188,0,320,3221,647,0,0,0,0,3,3221,76.90%
Addlestone,TC0013,South East,T Centre,505366.9,164715.7,118,122,27,26,4,0,4,22,34,8547,0,0,0,1640,5774,345,446,342,5,5774,67.60%
"Albany Road, Cardiff",TC0014,Wales,T Centre,319020.5,177851.6,266,289,85,61,23,1,12.6,65,83,16050,0,10611,749,2332,2358,0,0,0,2,10611,66.10%
Alcester,TC0015,West Midlands,T Centre,408946.7,257366.7,96,101,42,18,5,0,3.9,12,13,2916,0,0,0,0,336,376,179,2025,8,2025,69.40%
Alderley Edge,TC0016,North West,T Centre,384354,378323.4,86,94,22,15,8,0,2.8,20,27,3479,0,0,0,0,2084,895,220,280,5,2084,59.90%
Aldershot,TC0017,South East,T Centre,486386.9,150675.9,331,391,107,77,60,5,25.2,79,110,51441,0,1606,3266,9579,18839,8064,4006,6081,5,18839,36.60%
Aldridge,TC0018,West Midlands,T Centre,405668.2,300738.6,131,142,35,25,11,2,9.5,24,31,10093,441,0,0,0,2055,3663,1554,2380,6,3663,36.30%
Alfreton,TC0019,East Midlands,T Centre,441065.6,355731.3,189,206,69,28,17,1,9.3,52,61,12158,0,0,0,0,595,2797,1505,7261,8,7261,59.70%
All Saints,TC0020,Greater London,T Centre,537872.2,181113.9,74,76,25,12,2,1,5.1,11,13,12066,0,366,11700,0,0,0,0,0,3,11700,97.00%
"Allerton Road, Wavertree",TC0021,North West,T Centre,339677.8,388061.1,59,62,14,19,3,0,2.3,14,18,4761,0,0,0,302,2563,1624,272,0,5,2563,53.80%
Allestree,TC0022,East Midlands,T Centre,433964.5,338625,57,66,15,9,9,1,4.4,18,22,1280,0,135,0,0,172,973,0,0,6,973,76.00%
Alnwick,TC0023,North East,T Centre,418697.6,613283.9,205,219,71,48,14,3,15.6,34,39,9835,2796,0,0,0,720,1602,1665,3052,8,3052,31.00%
Alton,TC0024,South East,T Centre,471704.4,139317.4,228,253,78,40,25,4,18.3,55,65,17816,480,259,0,0,9205,3923,1741,2208,5,9205,51.70%
Altrincham,TC0025,North West,T Centre,376795.3,387837.8,425,539,143,111,114,4,27.1,94,116,52012,0,406,0,2052,22886,20409,1561,4698,5,22886,44.00%
Ambleside,TC0026,North West,T Centre,337634.8,504456.7,162,172,63,55,10,1,9.9,25,33,2978,449,0,0,0,1221,0,814,494,5,1221,41.00%
Amersham,TC0027,South East,T Centre,496481.7,198457.3,178,191,66,26,13,2,11.4,48,58,14286,0,0,0,719,8450,4543,310,264,5,8450,59.10%
Ammanford,TC0028,Wales,T Centre,262954.3,212295.7,126,134,43,25,8,1,7.2,32,34,11796,3393,0,0,0,841,3830,419,3313,6,3830,32.50%
Ampthill,TC0029,East Of England,T Centre,503460.5,238084.7,75,80,26,15,5,0,2.8,15,16,5687,0,0,0,0,2200,2550,0,937,6,2550,44.80%
Andover,TC0030,South East,T Centre,436451,145516.7,324,367,106,66,43,6,27.1,99,120,47337,4302,290,0,385,18781,7742,3447,12390,5,18781,39.70%
Appleby-in-Westmorland,TC0031,North West,T Centre,368375,520375,59,68,17,15,9,1,4.7,9,10,3048,1876,0,0,0,491,0,0,681,1,1876,61.50%
Archway,TC0032,Greater London,T Centre,529493.2,186701.8,149,161,30,41,12,0,5.3,17,30,9413,0,2167,7246,0,0,0,0,0,3,7246,77.00%
Armley,TC0033,Yorkshire and the Humber,T Centre,427104.6,433504.6,70,76,13,16,6,1,4.8,23,28,4483,0,0,198,3149,263,0,873,0,4,3149,70.20%
Arnold,TC0034,East Midlands,T Centre,458604.4,345494.9,212,236,72,41,24,2,12.9,66,75,14774,0,0,0,0,5216,4410,828,4320,5,5216,35.30%
Arundel,TC0036,South East,T Centre,501836.3,107084.7,106,114,50,28,8,0,4.8,9,13,1475,0,0,0,0,1475,0,0,0,5,1475,100.00%
Ascot,TC0037,South East,T Centre,492358.3,168819.4,26,27,5,6,1,1,3.4,12,16,,,,,,,,,,,,NA
Ashbourne,TC0038,East Midlands,T Centre,418041.2,346710.1,141,151,62,31,10,2,10.9,32,35,8637,2697,0,0,0,988,1153,630,3169,8,3169,36.70%
Ashby,TC0039,Yorkshire and the Humber,T Centre,489570.7,408646.7,74,87,22,18,13,1,5.3,20,24,12429,0,0,0,0,1532,2851,1934,6112,8,6112,49.20%
Ashby-de-la-Zouch,TC0040,East Midlands,T Centre,435775,316746.8,196,207,75,36,11,1,10,36,43,10488,534,0,0,0,1647,5219,189,2899,6,5219,49.80%
"Ashford, Kent",TC0041,South East,T Centre,601022.7,142720.8,384,459,139,75,75,6,29.6,122,141,77841,4691,0,0,6787,25777,16467,8524,15595,5,25777,33.10%
"Ashford, Middlesex",TC0042,Greater London,T Centre,506697.2,171784.3,117,129,29,23,12,0,4,22,30,8330,0,0,0,1553,4659,1613,505,0,5,4659,55.90%
Ashington,TC0043,North East,T Centre,427393.5,587753.5,204,232,79,32,28,1,10.1,56,66,30936,643,0,0,0,2180,7142,6870,14101,8,14101,45.60%
