AREA_CODE,AGE_GROUP,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,age
E06000047,60,6656,6939.993,7037.904,7235.642,6966.993,7315.962,7692.6,7784.483,7982.02,7995.706,7875.149,7769.55,7590.154,7492.592,7141.217,7503.392,6961.6,6500.285,5892.037,5776.577,5673.032,5402.505,5588.399,6092.946,6335.398,6290.774,60
E06000047,61,6528,6624.999,6911.176,7012.701,7208.862,6945.274,7292.741,7667.738,7760.764,7956.164,7971.885,7852.2,7748.272,7569.976,7473.516,7127.031,7486.831,6949.989,6490.384,5886.927,5771.8,5668.709,5399.943,5585.072,6089.195,6332.14,61
E06000047,62,6393,6492.235,6591.512,6878.346,6980.924,7174.801,6918.016,7263.616,7636.477,7730.311,7923.391,7941.416,7822.616,7720.447,7543.166,7448.017,7106.526,7463.769,6932.054,6474.507,5876.221,5761.637,5659.011,5392.247,5576.564,6079.845,62
E06000047,63,6439,6346.999,6444.173,6546.532,6833.79,6938.775,7130.365,6879.544,7223.472,7593.887,7688.584,7879.67,7899.624,7782.28,7682.201,7506.706,7412.946,7076.862,7431.476,6905.553,6450.837,5858.336,5744.636,5642.881,5378.598,5561.97,63
E06000047,64,6242,6403.172,6315.838,6412.737,6515.336,6802.344,6909.598,7099.826,6854.182,7196.336,7564.708,7660.362,7849.928,7871.57,7755.226,7656.914,7482.894,7390.294,7058.773,7411.256,6890.105,6437.468,5849.653,5736.614,5635.615,5373.073,64
E06000047,65,6370,6190.226,6351.509,6266.361,6364.399,6469.052,6753.15,6862.471,7051.191,6811.529,7151.15,7516.304,7612.685,7800.496,7823.875,7708.764,7612.476,7440.48,7349.186,7023.056,7372.698,6857.424,6408.342,5826.345,5714.193,5614.324,65
E06000047,66,6465,6310.389,6136.571,6295.341,6213.765,6308.737,6416.769,6699.082,6810.206,6997.388,6763.638,7100.838,7462.887,7560.034,7746.068,7771.256,7657.677,7563.526,7393.73,7303.848,6983.316,7329.598,6820.863,6375.513,5799.58,5688.215,66
E06000047,67,6660,6395.465,6242.673,6074.165,6232.845,6154.837,6247.547,6357.139,6637.907,6750.936,6936.635,6708.19,7042.802,7401.632,7499.437,7683.863,7710.637,7598.63,7506.703,7339.256,7250.94,6935.967,7279.361,6776.837,6335.64,5766.057,67
E06000047,68,6815,6574.555,6318.738,6171.57,6007.705,6165.337,6088.979,6180.869,6292.411,6571.144,6685.307,6869.01,6646.199,6977.952,7333.273,7431.645,7614.531,7642.765,7532.412,7442.809,7278.138,7191.382,6882.009,7222.231,6726.407,6289.697,68
E06000047,69,7519,6725.08,6491.138,6240.653,6096.444,5937.528,6093.012,6020.011,6110.791,6223.556,6499.568,6614.308,6796.334,6579.42,6907.995,7259.773,7358.535,7539.694,7569.413,7460.928,7373.737,7211.744,7126.803,6823.122,7159.889,6671.047,69
E06000047,70,5710,7403.85,6629.517,6402.626,6157.341,6016.28,5859.727,6014.866,5945.197,6034.904,6147.665,6420.543,6536.302,6716.835,6505.429,6830.908,7179.158,7278.293,7457.696,7488.796,7382.453,7297.633,7138.288,7055.476,6757.211,7090.564,70
E06000047,71,5631,5602.66,7266.402,6512.157,6293.954,6054.974,5915.946,5763.809,5918.25,5852.452,5940.548,6053.482,6323.375,6440.314,6618.951,6413.826,6735.399,7079.344,7178.839,7356.463,7388.905,7285.404,7203.139,7047.386,6966.988,6675.131,71
E06000047,72,5501,5517.615,5494.519,7131.226,6397.442,6183.052,5949.76,5815.032,5667.87,5821.106,5758.511,5845.721,5959.204,6226.345,6343.766,6520.579,6322.029,6639.768,6979.637,7079.32,7254.957,7289.065,7188.334,7108.86,6956.443,6878.597,72
E06000047,73,4770,5376.419,5398.034,5379.193,6981.901,6270.944,6060.392,5834.015,5703.75,5561.319,5713.481,5654.047,5740.189,5854.131,6117.995,6235.685,6410.503,6218.494,6531.909,6867.047,6966.768,7140.293,7175.903,7077.887,7001.372,6852.602,73
E06000047,74,4376,4657.366,5254.999,5278.66,5262.566,6836.341,6141.403,5936.965,5717.491,5591.509,5454.043,5604.503,5548.46,5633.511,5747.74,6008.108,6126.15,6298.898,6113.274,6422.332,6752.685,6852.292,7023.794,7060.722,6965.69,6892.04,74
E06000047,75,4101,4254.946,4530.176,5111.755,5141.089,5132.383,6665.004,5992.215,5794.839,5583.874,5462.616,5329.896,5478.639,5426.536,5510.271,5624.854,5880.967,5999.585,6169.951,5991.062,6294.974,6619.601,6719.234,6888.767,6926.686,6835.208,75
E06000047,76,4112,3963.196,4121.739,4390.751,4956.257,4984.663,4980.528,6472.516,5822.756,5632.929,5430.188,5314.549,5187.789,5334.522,5286.171,5368.584,5483.07,5734.378,5852.978,6020.486,5848.837,6146.932,6465.127,6564.388,6731.358,6770.446,76
E06000047,77,3977,3964.225,3825.657,3980.016,4242.381,4786.928,4819.914,4818.951,6265.37,5641.038,5458.946,5265.559,5155.415,5034.719,5179.032,5134.659,5215.667,5329.689,5575.73,5693.943,5858.305,5694.228,5985.714,6296.701,6395.514,6559.779,77
E06000047,78,3855,3818.177,3812.071,3682.03,3832.846,4087.108,4613.244,4648.167,4650.906,6050.558,5452.258,5278.398,5094.237,4989.841,4875.363,5017.242,4976.925,5056.431,5170.017,5410.447,5528.42,5689.319,5533.119,5817.876,6121.315,6219.703,78
