year,count,source,perc_change_2010
2008,539903,estimate,-2.0139745916515426
2009,545446,estimate,-1.0079854809437385
2010,551e3,estimate,0
2011,542486,estimate,-1.5451905626134301
2012,533576,estimate,-3.162250453720508
2013,524137,estimate,-4.8753176043557165
2014,515689,estimate,-6.408529945553538
2015,506027.5,estimate,-8.161978221415609
2016,496795,estimate,-9.837568058076226
2016,497014,forecast,-9.797822141560799
2017,481142.955,forecast,-12.67822958257713
2018,465874.9375,forecast,-15.449194646098002
2019,450784.5155,forecast,-18.18792822141561
2020,435874.262,forecast,-20.893963339382942
2021,439911.886,forecast,-20.16118221415608
2022,444393.803,forecast,-19.347767150635207
2023,449642.148,forecast,-18.39525444646098
2024,455686.499,forecast,-17.298276043557166
2025,462230.464,forecast,-16.11062359346643
2026,469106.584,forecast,-14.862688929219606
2027,462590.87049999996,forecast,-16.04521406533576
2028,455901.083,forecast,-17.25933157894737
2029,465472.648,forecast,-15.5222054446461
2030,474729.165,forecast,-13.842256805807626
2031,484424.823,forecast,-12.082609255898372
2032,494130.51,forecast,-10.321141560798546
2033,503655.357,forecast,-8.592494192377492
2034,512945.74600000004,forecast,-6.9063981851179594
2035,522251.475,forecast,-5.217518148820331
2036,531351.601,forecast,-3.5659526315789427
2037,540086.493,forecast,-1.9806727767695071
2038,532719.9975,forecast,-3.3176048094373765
2039,525056.247,forecast,-4.708485117967337
2040,532223.063,forecast,-3.4077925589836724
2041,537746.979,forecast,-2.4052669691469966
