"month","age5","type","n","pp","npp"
2010-10-01,71,"Disabled Concession",404,14,28.8571428571429
2010-10-01,41,"Disabled Concession",36822,1132,32.5282685512367
2010-10-01,31,"Disabled Concession",26032,860,30.2697674418605
2010-10-01,51,"Disabled Concession",62538,1941,32.2194744976816
2010-10-01,66,"Disabled Concession",16343,573,28.521815008726
2010-10-01,46,"Disabled Concession",52072,1655,31.4634441087613
2010-10-01,21,"Disabled Concession",16743,742,22.5646900269542
2010-10-01,46,"Over 60 Concession",-1,-1,-1
2010-10-01,81,"Over 60 Concession",1531522,70902,21.6005472342106
2010-10-01,26,"Disabled Concession",22449,827,27.1451027811366
2010-10-01,36,"Over 60 Concession",-1,-1,-1
2010-10-01,16,"Disabled Concession",2010,186,10.8064516129032
2010-10-01,36,"Disabled Concession",28101,905,31.0508287292818
2010-10-01,71,"Over 60 Concession",1020427,51264,19.9053331772784
2010-10-01,76,"Over 60 Concession",978997,46512,21.0482671138631
2010-10-01,76,"Disabled Concession",-1,-1,-1
2010-10-01,56,"Disabled Concession",66340,2160,30.712962962963
2010-10-01,10,"Disabled Concession",319,43,7.41860465116279
2010-10-01,61,"Disabled Concession",78781,2653,29.6950621937429
2010-10-01,66,"Over 60 Concession",976491,52137,18.7293284999137
2010-10-01,81,"Disabled Concession",390,18,21.6666666666667
2010-10-01,5,"Disabled Concession",-1,-1,-1
2010-11-01,71,"Over 60 Concession",1031170,52543,19.6252593114211
2010-11-01,31,"Disabled Concession",26664,877,30.4036488027366
2010-11-01,56,"Disabled Concession",66834,2178,30.6859504132231
2010-11-01,21,"Disabled Concession",16619,740,22.4581081081081
2010-11-01,81,"Disabled Concession",389,15,25.9333333333333
2010-11-01,46,"Disabled Concession",51984,1677,30.9982110912343
2010-11-01,26,"Disabled Concession",22364,850,26.3105882352941
2010-11-01,5,"Disabled Concession",-1,-1,-1
2010-11-01,81,"Over 60 Concession",1464446,70706,20.7117642067151
2010-11-01,36,"Over 60 Concession",-1,-1,-1
2010-11-01,66,"Over 60 Concession",1004623,54071,18.5797007638105
2010-11-01,36,"Disabled Concession",28177,931,30.265306122449
2010-11-01,66,"Disabled Concession",15732,556,28.294964028777
2010-11-01,71,"Disabled Concession",347,13,26.6923076923077
2010-11-01,41,"Disabled Concession",36599,1146,31.9363001745201
2010-11-01,76,"Over 60 Concession",966322,47324,20.4192798580002
2010-11-01,76,"Disabled Concession",-1,-1,-1
2010-11-01,46,"Over 60 Concession",-1,-1,-1
2010-11-01,61,"Disabled Concession",77755,2716,28.6284977908689
