"month","gender","type","n","pp","npp"
2010-10-01,"U","Over 60 Concession",332500,15100,22.0198675496689
2010-10-01,"M","Over 60 Concession",1775890,81924,21.6772862653191
2010-10-01,"F","Disabled Concession",172554,6621,26.0616221114635
2010-10-01,"U","Disabled Concession",2665,105,25.3809523809524
2010-10-01,"C","Over 60 Concession",22194,1200,18.495
2010-10-01,"M","Disabled Concession",234065,6981,33.5288640595903
2010-10-01,"F","Over 60 Concession",2376918,122593,19.388692665976
2010-10-01,"C","Disabled Concession",227,10,22.7
2010-11-01,"F","Disabled Concession",170026,6715,25.3203276247208
2010-11-01,"U","Disabled Concession",2724,106,25.6981132075472
2010-11-01,"M","Over 60 Concession",1757617,83749,20.9867222295192
2010-11-01,"C","Disabled Concession",235,14,16.7857142857143
2010-11-01,"U","Over 60 Concession",327222,15265,21.4360956436292
2010-11-01,"C","Over 60 Concession",21286,1229,17.319772172498
2010-11-01,"F","Over 60 Concession",2360520,124404,18.9746310408025
2010-11-01,"M","Disabled Concession",236091,7084,33.3273574251835
2010-12-01,"U","Disabled Concession",2248,107,21.0093457943925
2010-12-01,"M","Disabled Concession",198371,7078,28.026419892625
2010-12-01,"C","Over 60 Concession",17995,1268,14.1916403785489
2010-12-01,"F","Over 60 Concession",1808194,120923,14.953267781977
2010-12-01,"C","Disabled Concession",167,12,13.9166666666667
2010-12-01,"F","Disabled Concession",136147,6617,20.5753362551005
2010-12-01,"U","Over 60 Concession",258046,14730,17.5183978275628
2010-12-01,"M","Over 60 Concession",1525344,84954,17.9549403206441
2011-01-01,"M","Disabled Concession",226473,7350,30.8126530612245
2011-01-01,"M","Over 60 Concession",1603216,81617,19.643162576424
2011-01-01,"C","Over 60 Concession",19388,1181,16.4165961049958
2011-01-01,"U","Disabled Concession",2423,112,21.6339285714286
2011-01-01,"F","Disabled Concession",163292,6909,23.6346794036764
2011-01-01,"U","Over 60 Concession",290582,14655,19.8281815080177
2011-01-01,"C","Disabled Concession",250,17,14.7058823529412
2011-01-01,"F","Over 60 Concession",2075659,119454,17.3762201349473
2011-02-01,"C","Over 60 Concession",19378,1184,16.3665540540541
2011-02-01,"U","Disabled Concession",2596,107,24.2616822429907
2011-02-01,"U","Over 60 Concession",290746,14575,19.9482675814751
2011-02-01,"F","Over 60 Concession",2082187,119581,17.4123564780358
2011-02-01,"M","Disabled Concession",233870,7548,30.9843667196608
2011-02-01,"M","Over 60 Concession",1598555,81448,19.6266943325803
2011-02-01,"F","Disabled Concession",169215,7244,23.3593318608504
2011-02-01,"C","Disabled Concession",244,13,18.7692307692308
2011-03-01,"U","Over 60 Concession",338883,15111,22.426245781219
2011-03-01,"C","Over 60 Concession",22611,1208,18.7177152317881
2011-03-01,"F","Over 60 Concession",2477200,124402,19.9128631372486
2011-03-01,"C","Disabled Concession",272,14,19.4285714285714
2011-03-01,"M","Disabled Concession",278592,7923,35.1624384702764
2011-03-01,"M","Over 60 Concession",1830885,84641,21.6311834690044
2011-03-01,"U","Disabled Concession",2834,107,26.4859813084112
2011-03-01,"F","Disabled Concession",203505,7623,26.6961826052735
2011-04-01,"U","Over 60 Concession",316313,14776,21.4072144017325
2011-04-01,"U","Disabled Concession",2845,107,26.588785046729
2011-04-01,"F","Disabled Concession",194099,7757,25.0224313523269
2011-04-01,"M","Over 60 Concession",1742919,82046,21.2431928430393
2011-04-01,"C","Disabled Concession",272,13,20.9230769230769
2011-04-01,"F","Over 60 Concession",2284172,121851,18.7456155468564
2011-04-01,"M","Disabled Concession",267484,8077,33.1167512690355
2011-04-01,"C","Over 60 Concession",21467,1235,17.3821862348178
2011-05-01,"C","Over 60 Concession",21766,1188,18.3215488215488
2011-05-01,"U","Over 60 Concession",322252,14731,21.8757721811147
2011-05-01,"M","Disabled Concession",278977,8196,34.0381893606637
2011-05-01,"C","Disabled Concession",316,14,22.5714285714286
2011-05-01,"U","Disabled Concession",2838,120,23.65
2011-05-01,"M","Over 60 Concession",1790086,82440,21.7138039786511
2011-05-01,"F","Over 60 Concession",2323666,122529,18.9642125537628
2011-05-01,"F","Disabled Concession",208260,8019,25.9708193041526
2011-06-01,"C","Disabled Concession",301,12,25.0833333333333
2011-06-01,"F","Disabled Concession",223049,8358,26.6868868150275
2011-06-01,"F","Over 60 Concession",2416029,123231,19.6056917496409
2011-06-01,"U","Over 60 Concession",331451,14759,22.4575513246155
2011-06-01,"C","Over 60 Concession",22962,1205,19.055601659751
2011-06-01,"M","Disabled Concession",290905,8476,34.3210240679566
2011-06-01,"M","Over 60 Concession",1849568,83142,22.2458925693392
2011-06-01,"U","Disabled Concession",2804,117,23.965811965812
2011-07-01,"U","Disabled Concession",2839,121,23.4628099173554
2011-07-01,"U","Over 60 Concession",338430,14751,22.9428513321131
2011-07-01,"F","Over 60 Concession",2459341,124097,19.8178924550956
2011-07-01,"C","Disabled Concession",316,13,24.3076923076923
2011-07-01,"M","Disabled Concession",304468,8733,34.8640787816329
2011-07-01,"C","Over 60 Concession",23804,1222,19.4795417348609
2011-07-01,"F","Disabled Concession",228507,8581,26.629413821233
2011-07-01,"M","Over 60 Concession",1903691,84068,22.6446567064757
2011-08-01,"C","Disabled Concession",277,16,17.3125
2011-08-01,"F","Over 60 Concession",2380595,122196,19.481775180857
2011-08-01,"F","Disabled Concession",224123,8642,25.9341587595464
2011-08-01,"U","Over 60 Concession",330834,14481,22.8460741661487
2011-08-01,"M","Disabled Concession",304667,8796,34.6369940882219
2011-08-01,"C","Over 60 Concession",22718,1190,19.090756302521
2011-08-01,"U","Disabled Concession",3007,116,25.9224137931034
2011-08-01,"M","Over 60 Concession",1880467,83053,22.641770917366
2011-09-01,"C","Over 60 Concession",22671,1203,18.8453865336658
2011-09-01,"C","Disabled Concession",313,13,24.0769230769231
2011-09-01,"U","Disabled Concession",2895,117,24.7435897435897
2011-09-01,"M","Over 60 Concession",1873771,84186,22.2575131256979
2011-09-01,"F","Over 60 Concession",2418916,123455,19.5935037058037
2011-09-01,"F","Disabled Concession",241254,8943,26.9768534048977
2011-09-01,"M","Disabled Concession",314509,9061,34.7101865136298
2011-09-01,"U","Over 60 Concession",330232,14606,22.6093386279611
2011-10-01,"F","Over 60 Concession",2430137,123367,19.6984363727739
2011-10-01,"U","Disabled Concession",2838,123,23.0731707317073
2011-10-01,"M","Over 60 Concession",1879068,84173,22.3238805792831
2011-10-01,"U","Over 60 Concession",329902,14613,22.5759255457469
2011-10-01,"F","Disabled Concession",241504,9070,26.6266813671444
2011-10-01,"M","Disabled Concession",317338,9175,34.5872479564033
2011-10-01,"C","Disabled Concession",272,14,19.4285714285714
2011-10-01,"C","Over 60 Concession",22943,1203,19.0714879467997
2011-11-01,"M","Disabled Concession",312513,9331,33.4919086914586
2011-11-01,"F","Over 60 Concession",2459073,125781,19.5504328952704
2011-11-01,"U","Over 60 Concession",327921,14761,22.2153648126821
2011-11-01,"C","Disabled Concession",293,16,18.3125
2011-11-01,"U","Disabled Concession",2945,125,23.56
2011-11-01,"M","Over 60 Concession",1845486,85801,21.5089101525623
2011-11-01,"C","Over 60 Concession",23773,1224,19.422385620915
2011-11-01,"F","Disabled Concession",240614,9150,26.2966120218579
2011-12-01,"U","Disabled Concession",2907,121,24.0247933884298
2011-12-01,"C","Over 60 Concession",21758,1238,17.5751211631664
2011-12-01,"M","Disabled Concession",293547,9351,31.3920436316971
2011-12-01,"M","Over 60 Concession",1738018,85977,20.2149179431708
2011-12-01,"F","Disabled Concession",218323,9203,23.7230251005107
2011-12-01,"F","Over 60 Concession",2214134,123596,17.9142852519499
2011-12-01,"U","Over 60 Concession",297982,14374,20.7306247391123
2011-12-01,"C","Disabled Concession",244,15,16.2666666666667
2012-01-01,"F","Disabled Concession",228875,9099,25.1538630618749
2012-01-01,"U","Disabled Concession",3324,128,25.96875
2012-01-01,"U","Over 60 Concession",295253,13992,21.1015580331618
2012-01-01,"M","Disabled Concession",308229,9357,32.9410067329272
2012-01-01,"M","Over 60 Concession",1749190,83188,21.0269510025484
2012-01-01,"C","Disabled Concession",266,14,19
2012-01-01,"F","Over 60 Concession",2201906,119675,18.3990474200961
2012-01-01,"C","Over 60 Concession",21977,1190,18.4680672268908
2012-02-01,"U","Over 60 Concession",278636,13754,20.258542969318
2012-02-01,"F","Disabled Concession",221164,9065,24.3975730832874
2012-02-01,"M","Disabled Concession",300670,9334,32.2123419755732
2012-02-01,"U","Disabled Concession",2922,126,23.1904761904762
2012-02-01,"C","Disabled Concession",197,10,19.7
2012-02-01,"C","Over 60 Concession",20945,1198,17.483305509182
2012-02-01,"F","Over 60 Concession",2089233,118332,17.6556890781868
2012-02-01,"M","Over 60 Concession",1662836,82094,20.2552683509148
2012-03-01,"F","Over 60 Concession",2470232,123348,20.0265265752181
2012-03-01,"M","Disabled Concession",344645,9518,36.2098129859214
2012-03-01,"F","Disabled Concession",261199,9378,27.8523139262103
2012-03-01,"M","Over 60 Concession",1889864,85121,22.2020887912501
2012-03-01,"U","Disabled Concession",3297,129,25.5581395348837
2012-03-01,"C","Over 60 Concession",23823,1235,19.2898785425101
2012-03-01,"C","Disabled Concession",363,14,25.9285714285714
2012-03-01,"U","Over 60 Concession",327663,14259,22.979381443299
2012-04-01,"F","Disabled Concession",224867,9108,24.6889547650417
2012-04-01,"F","Over 60 Concession",2028572,115010,17.638222763238
2012-04-01,"U","Disabled Concession",3061,125,24.488
2012-04-01,"M","Over 60 Concession",1646883,80139,20.5503312993674
2012-04-01,"C","Over 60 Concession",19229,1098,17.5127504553734
2012-04-01,"M","Disabled Concession",308524,9441,32.6791653426544
2012-04-01,"U","Over 60 Concession",274383,13433,20.4260403483957
2012-04-01,"C","Disabled Concession",270,14,19.2857142857143
2012-05-01,"C","Over 60 Concession",23307,1215,19.1827160493827
2012-05-01,"C","Disabled Concession",299,17,17.5882352941176
2012-05-01,"U","Disabled Concession",3353,122,27.483606557377
2012-05-01,"M","Disabled Concession",343469,9618,35.7110625909753
2012-05-01,"U","Over 60 Concession",317578,14057,22.5921604894359
2012-05-01,"F","Over 60 Concession",2412045,122193,19.7396332032113
2012-05-01,"F","Disabled Concession",261730,9428,27.7609249045397
2012-05-01,"M","Over 60 Concession",1887007,84206,22.4094126309289
2012-06-01,"M","Over 60 Concession",1784808,82823,21.5496661555365
2012-06-01,"U","Over 60 Concession",294834,13784,21.389582124202
2012-06-01,"C","Over 60 Concession",21764,1187,18.335299073294
2012-06-01,"F","Disabled Concession",240075,9317,25.767414403778
2012-06-01,"U","Disabled Concession",3124,130,24.0307692307692
2012-06-01,"C","Disabled Concession",275,17,16.1764705882353
2012-06-01,"M","Disabled Concession",321522,9468,33.9588086185044
2012-06-01,"F","Over 60 Concession",2216370,120173,18.4431611094006
2012-07-01,"M","Over 60 Concession",1916072,84654,22.6341578661375
2012-07-01,"U","Over 60 Concession",316069,13970,22.624838940587
2012-07-01,"C","Disabled Concession",294,15,19.6
2012-07-01,"F","Over 60 Concession",2388784,122058,19.5708925265038
2012-07-01,"U","Disabled Concession",3530,123,28.6991869918699
2012-07-01,"C","Over 60 Concession",23276,1191,19.5432409739715
2012-07-01,"F","Disabled Concession",254973,9400,27.1247872340426
2012-07-01,"M","Disabled Concession",338617,9608,35.2432348043297
2012-08-01,"F","Disabled Concession",251798,9300,27.0750537634409
2012-08-01,"M","Disabled Concession",343266,9508,36.1028607488431
2012-08-01,"M","Over 60 Concession",1942404,84786,22.9094897742552
2012-08-01,"C","Disabled Concession",251,15,16.7333333333333
2012-08-01,"C","Over 60 Concession",23042,1203,19.1537822111388
2012-08-01,"F","Over 60 Concession",2402874,122193,19.6645798040804
2012-08-01,"U","Disabled Concession",3779,123,30.7235772357724
2012-08-01,"U","Over 60 Concession",317027,13943,22.7373592483684
2012-09-01,"C","Disabled Concession",316,19,16.6315789473684
2012-09-01,"U","Over 60 Concession",306788,13927,22.0282903712214
2012-09-01,"M","Disabled Concession",336471,9564,35.180991217064
2012-09-01,"U","Disabled Concession",3390,122,27.7868852459016
2012-09-01,"M","Over 60 Concession",1879285,85040,22.0988358419567
2012-09-01,"C","Over 60 Concession",22653,1193,18.9882648784577
2012-09-01,"F","Over 60 Concession",2341367,122220,19.1569873997709
2012-09-01,"F","Disabled Concession",253187,9346,27.0904130109138
2012-10-01,"U","Disabled Concession",3655,123,29.7154471544715
2012-10-01,"C","Over 60 Concession",24551,1240,19.7991935483871
2012-10-01,"F","Over 60 Concession",2520382,124060,20.3158310494922
2012-10-01,"C","Disabled Concession",339,16,21.1875
2012-10-01,"M","Over 60 Concession",1983823,86766,22.8640596547035
2012-10-01,"M","Disabled Concession",349481,9507,36.7603870832018
2012-10-01,"U","Over 60 Concession",329051,14049,23.4216670225639
2012-10-01,"F","Disabled Concession",264165,9315,28.3590982286634
2012-11-01,"U","Disabled Concession",3220,126,25.5555555555556
2012-11-01,"M","Disabled Concession",327757,9443,34.7089907868262
2012-11-01,"F","Over 60 Concession",2396466,123972,19.3307037072887
2012-11-01,"U","Over 60 Concession",304726,13753,22.1570566421872
2012-11-01,"M","Over 60 Concession",1869190,86559,21.5944038170496
2012-11-01,"C","Over 60 Concession",23538,1225,19.214693877551
2012-11-01,"C","Disabled Concession",451,18,25.0555555555556
2012-11-01,"F","Disabled Concession",245589,9184,26.740962543554
2012-12-01,"C","Over 60 Concession",19847,1200,16.5391666666667
2012-12-01,"M","Over 60 Concession",1671717,85356,19.5852312666948
2012-12-01,"F","Over 60 Concession",2042610,120659,16.9287827679659
2012-12-01,"U","Disabled Concession",2720,120,22.6666666666667
2012-12-01,"M","Disabled Concession",291231,9408,30.9556760204082
2012-12-01,"C","Disabled Concession",299,17,17.5882352941176
2012-12-01,"U","Over 60 Concession",262619,13423,19.5648513745064
2012-12-01,"F","Disabled Concession",211052,9060,23.2949227373068
2013-01-01,"F","Disabled Concession",207325,8918,23.2479255438439
2013-01-01,"U","Over 60 Concession",248704,13155,18.9056632459141
2013-01-01,"M","Disabled Concession",297621,9336,31.8788560411311
